thread-100	closed		architect	3		smoke-1776404142657	2026-04-17	[smoke] WF-005 thread (smoke-1776404142657)
thread-101	closed		architect	3	implementation_ready		2026-04-17	Role Routing & Label-Based Selection — Mission Design
thread-102	closed		architect	3		smoke-1776410674502	2026-04-17	[smoke] WF-005 thread (smoke-1776410674502)
thread-103	closed		architect	3		smoke-1776411217353	2026-04-17	[smoke] WF-005 thread (smoke-1776411217353)
thread-104	closed		architect	3		smoke-1776412123645	2026-04-17	[smoke] WF-005 thread (smoke-1776412123645)
thread-105	closed		architect	3		smoke-1776412839619	2026-04-17	[smoke] WF-005 thread (smoke-1776412839619)
thread-106	closed		architect	3		smoke-1776413204302	2026-04-17	[smoke] WF-005 thread (smoke-1776413204302)
thread-107	closed		engineer	4	implementation_ready	mission-18	2026-04-17	DAG-mission hardening: consumer-update edges, orphan lifecycle, mission-integrit
thread-108	closed		engineer	1			2026-04-17	Event Naming Audit & Consistency Brainstorm
thread-109	closed		architect	3	implementation_ready		2026-04-17	GCS read-modify-write audit — bug class beyond task-223
thread-10	closed		architect	3	implementation_ready		2026-04-11	Phase 13e Fix: Non-Blocking Unified Plugin Architecture
thread-110	closed		architect	4	implementation_ready		2026-04-17	Architectural Guidance: Mission-20 Storage Naming & Structure
thread-111	closed		architect	6			2026-04-17	Architectural Brainstorm: Generic EntityStore Base Class & Metadata Centralizati
thread-112	closed		architect	5	implementation_ready		2026-04-17	Multi-action thread convergence & PolicyRouter hardening — workflow enhancement
thread-113	closed		architect	3	implementation_ready		2026-04-18	Idea backlog cleanup — dismissals needed post-RBAC fix
thread-114	closed		architect	3		smoke-1776473457430	2026-04-18	[smoke] WF-005 thread (smoke-1776473457430)
thread-115	closed		architect	3		smoke-1776473678588	2026-04-18	[smoke] WF-005 thread (smoke-1776473678588)
thread-116	closed		architect	4	implementation_ready		2026-04-18	Entity Registry (SSOT) & Schema Audit Brainstorm
thread-117	closed		architect	6	implementation_ready		2026-04-18	Entity Registry (SSOT) & Schema Audit Brainstorm
thread-118	closed		architect	3	implementation_ready		2026-04-18	[smoke] M21 Phase 1 Threads 2.0 gate validation
thread-119	closed		architect	3	implementation_ready		2026-04-18	[T1] Phase 1 post-deploy prompt validation
thread-11	closed		architect	3	implementation_ready		2026-04-11	Universal MCP Network Adapter: Design for Reusability
thread-120	closed		architect	3	implementation_ready		2026-04-18	[Threads 2.0 E2E] Post-migration validation
thread-121	closed		architect	3	implementation_ready		2026-04-18	[Threads 2.0 E2E r2] Allow-list + cascade fixes
thread-122	closed		engineer	3	implementation_ready		2026-04-18	[P2P smoke] greg → kate direct peer thread
thread-123	closed		engineer	3	implementation_ready		2026-04-18	[P2P smoke r2] Autonomous loop chain — greg asks kate to close + re-open
thread-124	closed		engineer	3	implementation_ready		2026-04-18	[P2P smoke r2] kate → greg reply thread
thread-125	closed		architect	9	implementation_ready		2026-04-18	[Threads 2.0 review] Frictionless-perfection rigorous brainstorm
thread-126	closed		architect	3	implementation_ready		2026-04-18	[Missions kickoff] Threads 2.0 Phase 2 — create 4 missions + decompose M-Ratify
thread-127	closed		engineer	3	implementation_ready		2026-04-18	[M-Ratify coord] greg → kate on mission-23 task split
thread-128	closed		architect	3	implementation_ready		2026-04-18	[Missions kickoff #2] Activate mission-24 (M-Phase2-Impl) + mission-25 (M-Sandwi
thread-129	closed		engineer	1			2026-04-18	[Coord] What task(s) are you working on?
thread-12	closed		architect	5	implementation_ready		2026-04-11	Architecture Review: Current State and Improvement Backlog
thread-130	round_limit		engineer	4	implementation_ready		2026-04-18	[Fix-ups] Mission activation, task-decomposition audit, thread-129 stewardship c
thread-131	round_limit		architect	3	implementation_ready		2026-04-18	[Fix-up] Cancel 9 zombie tasks — mission-24/25 state cleanup
thread-132	closed	targeted	architect	3	implementation_ready	mission-24	2026-04-18	[Fix-up retry] Cancel 9 zombie tasks — Hub FSM now permits working/blocked cance
thread-133	closed	targeted	engineer	4	implementation_ready		2026-04-18	M24-T15 Phase 2 ITW smoke
thread-134	closed	targeted	architect	3	implementation_ready		2026-04-18	M24 Phase 2 status + next-priority check-in
thread-135	closed	targeted	engineer	4	implementation_ready		2026-04-18	task-274 Part 1 shipped + Parts 2/3 defer
thread-136	closed	targeted	architect	3	implementation_ready	mission-cascade-perfection	2026-04-18	M-Cascade-Perfection — ADR-015 ratification + mission/task spawn
thread-137	active	unicast	engineer	2			2026-04-19	Threads 2.0 design doc + test README review
thread-138	closed	unicast	architect	3			2026-04-19	bug-10 closure verification — ADR-017 end-to-end
thread-139	closed	unicast	architect	3			2026-04-19	Phase 1.1 verification — queueItemId on SSE payload
thread-13	closed		engineer	3			2026-04-11	Push-to-LLM Validation Test
thread-140	closed	unicast	engineer	4	implementation_ready		2026-04-19	M-Ideas-Audit kickoff — rubric + class taxonomy buy-in
thread-141	closed	unicast	architect	3			2026-04-19	Audit idea-1 — GCS persistence verification probe
thread-142	closed	unicast	architect	3			2026-04-19	Audit idea-100 — ADR-017 Phase 2 architect-adapter drain-on-wake
thread-143	closed	unicast	architect	3			2026-04-19	Audit idea-101 — ADR-017 Phase 3 engineer-adapter drain-on-wake
